Donor_Raw,country_clean,count
The Crosby Brown Collection of Musical Instruments,Egypt,42
The Crosby Brown Collection of Musical Instruments,Costa Rica,41
The Crosby Brown Collection of Musical Instruments,Austria,38
The Crosby Brown Collection of Musical Instruments,Congo,34
The Crosby Brown Collection of Musical Instruments,Gabon,32
The Crosby Brown Collection of Musical Instruments,Peru,32
The Crosby Brown Collection of Musical Instruments,Syria,31
The Crosby Brown Collection of Musical Instruments,Vanuatu,29
The Crosby Brown Collection of Musical Instruments,Spain,28
The Crosby Brown Collection of Musical Instruments,Belgium,26
The Crosby Brown Collection of Musical Instruments,Guya,25
The Crosby Brown Collection of Musical Instruments,Philippines,25
The Crosby Brown Collection of Musical Instruments,Switzerland,20
The Crosby Brown Collection of Musical Instruments,Papua New Guinea,19
The Crosby Brown Collection of Musical Instruments,Algeria,17
The Crosby Brown Collection of Musical Instruments,Saudi Arabia,16
The Crosby Brown Collection of Musical Instruments,Madagascar,15
The Crosby Brown Collection of Musical Instruments,Solomon Islands,15
The Crosby Brown Collection of Musical Instruments,Brazil,14
The Crosby Brown Collection of Musical Instruments,Morocco,14
The Crosby Brown Collection of Musical Instruments,Africa,13
The Crosby Brown Collection of Musical Instruments,Norway,12
The Crosby Brown Collection of Musical Instruments,Tibet,12
The Crosby Brown Collection of Musical Instruments,Australia,11
The Crosby Brown Collection of Musical Instruments,Netherlands,11
The Crosby Brown Collection of Musical Instruments,Nigeria,11
The Crosby Brown Collection of Musical Instruments,Portugal,11
The Crosby Brown Collection of Musical Instruments,Uganda,11
The Crosby Brown Collection of Musical Instruments,Greece,10
The Crosby Brown Collection of Musical Instruments,New Guinea,10
The Crosby Brown Collection of Musical Instruments,Guatemala,9
The Crosby Brown Collection of Musical Instruments,Cameroon,8
The Crosby Brown Collection of Musical Instruments,Korea,8
The Crosby Brown Collection of Musical Instruments,Bulgaria,7
The Crosby Brown Collection of Musical Instruments,Cuba,7
The Crosby Brown Collection of Musical Instruments,Czechia,7
The Crosby Brown Collection of Musical Instruments,New Zealand,7
The Crosby Brown Collection of Musical Instruments,Norfolk Island,7
The Crosby Brown Collection of Musical Instruments,Fiji,6
The Crosby Brown Collection of Musical Instruments,Ghana,6
The Crosby Brown Collection of Musical Instruments,Kenya,6
The Crosby Brown Collection of Musical Instruments,Angola,5
The Crosby Brown Collection of Musical Instruments,Azerbaijan,5
The Crosby Brown Collection of Musical Instruments,Benin,5
The Crosby Brown Collection of Musical Instruments,Ireland,5
The Crosby Brown Collection of Musical Instruments,Malaysia,5
The Crosby Brown Collection of Musical Instruments,Republic of the Congo,5
The Crosby Brown Collection of Musical Instruments,Sierra Leone,5
The Crosby Brown Collection of Musical Instruments,Venezuela,5
The Crosby Brown Collection of Musical Instruments,Bolivia,4
The Crosby Brown Collection of Musical Instruments,Colombia,4
The Crosby Brown Collection of Musical Instruments,Mali,4
The Crosby Brown Collection of Musical Instruments,Mozambique,4
The Crosby Brown Collection of Musical Instruments,New Caledonia,4
The Crosby Brown Collection of Musical Instruments,Scotland,4
The Crosby Brown Collection of Musical Instruments,Tanzania,4
The Crosby Brown Collection of Musical Instruments,Georgia,3
The Crosby Brown Collection of Musical Instruments,Hungary,3
The Crosby Brown Collection of Musical Instruments,Liberia,3
The Crosby Brown Collection of Musical Instruments,Nicaragua,3
The Crosby Brown Collection of Musical Instruments,Sudan,3
The Crosby Brown Collection of Musical Instruments,Zambia,3
The Crosby Brown Collection of Musical Instruments,former Yugoslavia,3
The Crosby Brown Collection of Musical Instruments,Burkina Faso,2
The Crosby Brown Collection of Musical Instruments,Cambodia,2
The Crosby Brown Collection of Musical Instruments,Ethiopia,2
The Crosby Brown Collection of Musical Instruments,Sarawak,2
The Crosby Brown Collection of Musical Instruments,Sulawesi,2
The Crosby Brown Collection of Musical Instruments,Sweden,2
The Crosby Brown Collection of Musical Instruments,Arabian Peninsula,1
The Crosby Brown Collection of Musical Instruments,Armenia,1
The Crosby Brown Collection of Musical Instruments,Bosnia,1
The Crosby Brown Collection of Musical Instruments,Bosnia and Herzegovina,1
The Crosby Brown Collection of Musical Instruments,Croatia,1
The Crosby Brown Collection of Musical Instruments,Denmark,1
The Crosby Brown Collection of Musical Instruments,Finland,1
The Crosby Brown Collection of Musical Instruments,Flemish,1
The Crosby Brown Collection of Musical Instruments,Friesland,1
The Crosby Brown Collection of Musical Instruments,Greenland,1
The Crosby Brown Collection of Musical Instruments,Guinea,1
The Crosby Brown Collection of Musical Instruments,Italian,1
The Crosby Brown Collection of Musical Instruments,Liberia-Côte d'Ivoire border,1
The Crosby Brown Collection of Musical Instruments,Malawi,1
The Crosby Brown Collection of Musical Instruments,Malta,1
The Crosby Brown Collection of Musical Instruments,Marshall Islands,1
The Crosby Brown Collection of Musical Instruments,Montenegro,1
The Crosby Brown Collection of Musical Instruments,Montenegro?  Yugoslavia,1
The Crosby Brown Collection of Musical Instruments,Pakista,1
The Crosby Brown Collection of Musical Instruments,Panama,1
The Crosby Brown Collection of Musical Instruments,Poland,1
The Crosby Brown Collection of Musical Instruments,Republic of Congo,1
The Crosby Brown Collection of Musical Instruments,Romania,1
The Crosby Brown Collection of Musical Instruments,Russia Federatio,1
The Crosby Brown Collection of Musical Instruments,Russian Federatio,1
The Crosby Brown Collection of Musical Instruments,S. Mali,1
The Crosby Brown Collection of Musical Instruments,Scandinavia,1
The Crosby Brown Collection of Musical Instruments,Senegambia,1
The Crosby Brown Collection of Musical Instruments,Serbia,1
The Crosby Brown Collection of Musical Instruments,Slovakia,1
The Crosby Brown Collection of Musical Instruments,Slovenia,1
The Crosby Brown Collection of Musical Instruments,Sumatra,1
The Crosby Brown Collection of Musical Instruments,Syria?  Saudia Arabia,1
The Crosby Brown Collection of Musical Instruments,Uzbekistan,1
The Crosby Brown Collection of Musical Instruments,Zimbabwe,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Peru,419
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Papua New Guinea,233
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Mexico,203
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",United States of America,89
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Costa Rica,87
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Colombia,66
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Congo,63
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Côte d'Ivoire,59
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Mali,57
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Nigeria,43
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Panama,43
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Indonesia,37
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Australia,31
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Canada,20
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Solomon Islands,18
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Ghana,16
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Vanuatu,16
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Gabon,15
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",New Zealand,15
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Burkina Faso,13
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Fiji,10
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Guinea,9
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",New Caledonia,9
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Cameroon,8
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Suriname,7
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Marquesas Islands,6
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Republic of Congo,6
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Sierra Leone,6
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Ecuador,5
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Guatemala,5
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Angola,4
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Chile,4
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Argentina,3
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Dominican Republic,3
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",French Polynesia,3
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Madagascar,3
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Republic of Benin,3
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Tonga,3
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Bolivia,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Brazil,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Cook Islands,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",French Guia,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Guinea-Bissau,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Samoa,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Togo,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Unknown country,2
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",African Republic,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Chad,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Federated States of Micronesia,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Honduras,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",India,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Liberia,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Puerto Rico,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Somalia,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Sudan,1
"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller",Wallis and Futuna Territory,1
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Egypt,945
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Iran,47
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",India,30
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Turkey,17
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Syria,15
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Canaa,4
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Azerbaijan,3
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Spain,3
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Cyprus,1
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",France,1
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Iraq,1
"Theodore M. Davis Collection, Bequest of Theodore M. Davis",Italy,1
