Title,country_clean
Basket,United States of America
Basket,United States of America
Basket,United Kingdom
Basket,United Kingdom
"Batten Door from the Williams House, near Preston, Connecticut",United States of America
"Batten Door from the Williams House, near Preston, Connecticut",United States of America
Beaker,United States of America
Pulque Beaker,Spain
Beaker,United Kingdom
Beaker,United Kingdom
Beaker,Canada
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Tumbler,France
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United Kingdom
Beaker,United Kingdom
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Tumbler,United States of America
Tumbler,United States of America
Tumbler,United States of America
Tumbler,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker,United States of America
Beaker Vase,China
Beaker Vase,China
Covered Bean Pot,United States of America
Bear figure and spill holder,United States of America
Folding Bedstead,United States of America
Bedstead,United States of America
Bedstead,United States of America
Bedstead,United States of America
Bedstead,United States of America
Bedstead,United States of America
Bedstead,United States of America
Bedstead,United States of America
"Bedstead from the Henry Gurdon Marquand House, New York City",United States of America
Bell,United States of America
Bell,United States of America
Bell Pull,United States of America
Bellows,United States of America
Bellows,United Kingdom
Bench,Netherlands
Bench,United States of America
Sleigh Seat,United States of America
Bench,United States of America
Bench,United States of America
Bench,United States of America
Bench,United States of America
Bench,United States of America
Bench,United States of America
Figure of Benjamin Franklin,United Kingdom
Plaque Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Plaque Portrait of Benjamin Franklin,France
Portrait of Benjamin Franklin,France
Bust of Benjamin Franklin,United States of America
Bus,United Kingdom
Bus,France
Bus,France
Bus,Italy
Cameo Medallion of Benjamin Franklin,United Kingdom
Portrait of Benjamin Franklin,France
Portrait of Benjamin Franklin,France
Medallion of Benjamin Franklin,France
Portrait of Benjamin Franklin,France
Portrait of Benjamin Franklin,China
Mask Cast of Benjamin Franklin,France
Medallio,France
Medallio,France
Medallio,France
Medallio,France
Medallion of Benjamin Franklin,France
Medallio,Italy
Medallio,France
Portrait Miniature of Benjamin Franklin,France
Portrait Panel of Benjamin Franklin,Germany
Plaqu,France
Portrait Bust of Benjamin Franklin,France
Portrait of Benjamin Franklin,France
Portrait of Benjamin Franklin,Japan
Statuett,Germany
Bentwood Side Chair,United States of America
Berry Dish,United States of America
Berry Spoon,United States of America
Betty Lamp,United States of America
Betty Lamp,United States of America
Bible,United Kingdom
Bible,United Kingdom
Bible,United States of America
Bible,Netherlands
Bible,Netherlands
Bill Holder,United States of America
Bird Fountain,United States of America
Bird Figure,United States of America
Figure of a Bird,United States of America
Birdhouse,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth and baptismal certificate,United States of America
Birth and Baptismal Certificate,United States of America
Birth Certificate,United States of America
Birth Certificate,United States of America
"Birth, Baptismal, and Marriage Certificate",United States of America
Bitters Bottle,United States of America
Bitters Bottle,United States of America
Bitters Bottle,United States of America
Desk,United States of America
Desk,United States of America
Blotter,United States of America
Blotter,United States of America
Pair of Blotter Holders,United States of America
Bobbin and Thread,United States of America
Bobeche,United States of America
Bonnet,United States of America
Bonnet,United States of America
Flask,United States of America
Book flask,United States of America
Book flask,United States of America
"Book of Common Prayer, Bible, and Book of Psalms",United Kingdom
Bookcase,United States of America
Bookcase,United States of America
Bookcase,United States of America
Bookend,United Kingdom
Boot with Spur,United States of America
Boot with Spur,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Border Tile,United States of America
Bottle,United Kingdom
Bottle,United States of America
Bottle,United States of America
Bottle,Mexico
Bottle,United States of America
Bottle,Czechia
Bottle,Czechia
Bottle,Czechia
Bottle,Czechia
Bottle,United States of America
Bottle,Czechia
Bottle,United States of America
Bottle,United States of America
Ring bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Sack bottle,United Kingdom
Bottle,United States of America
Bottle,China
Bottle,United States of America
Bottle,United States of America
Figured flask,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Scroll flask,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Figured bottle,United States of America
Bottle,United States of America
Bottle,Czechia
Bottle,Mexico
Bottle,Mexico
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle Corker,United States of America
Fragment of a Bottle,United States of America
Fragment of a Bottle,United States of America
Fragment of a Bottle,United States of America
Fragment of a Bottle,United States of America
Fragment of a Bottle,United States of America
Fragment of a Bottle,United States of America
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bottle,United Kingdom
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,China
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Basin,Mexico
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,Mexico
Bowl,Mexico
Bowl,Mexico
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,China
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,China
Bowl,United States of America
Bowl,United States of America
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,United States of America
Bowl,United States of America
Bowl,China
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Footed bowl,United States of America
Footed Bowl,United States of America
Footed bowl,United States of America
Footed Bowl,United States of America
Footed bowl,United States of America
Footed Bowl,United States of America
Bowl,United Kingdom
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,United Kingdom
Hobnail Bowl,United Kingdom
Bowl,United Kingdom
Punch Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,China
Bowl,China
Bowl,China
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Punch Bowl,United States of America
Two-handled bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Punch Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,France
Bowl,United States of America
Bowl,United States of America
Punch Bowl,United States of America
Bowl,United States of America
Hobnail bowl,United States of America
Punch Bowl,United States of America
Bowl,United States of America
Punch Bowl,United States of America
Two-handled Bowl,United States of America
Two-handled bowl,United States of America
Bowl,United States of America
Two-handled Bowl,United States of America
Dish,United States of America
Vase,United States of America
Bowl,United States of America
Bowl,United States of America
Footed Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United States of America
Sugar Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Vase,United States of America
Bowl,United States of America
Vase,United States of America
Bowl,United States of America
Bowl,United States of America
Vase,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,Ireland
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,United States of America
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,China
Bowl,United States of America
Slop Bowl,France
Bowl,China
Bowl,China
Bowl,Czechia
Bowl,Czechia
Footed Bowl,United States of America
Footed Bowl,United States of America
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United Kingdom
Bowl,United Kingdom
Bowl and plate,United States of America
Vase,United States of America
Bowl,United States of America
Cup,Mexico
Box with Medallion Top,United Kingdom
Box with Medallion Top,Germany
Box with Medallion Top,France
Box with Medallion Top,France
Box with Medallion Top,France
Box with Medallion Top,France
Box with Medallion Top,France
Medallion of the Marquis de Lafayette,France
Portrait Miniature of the Marquis de Lafayette,France
Box,France
Box,France
Box,France
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Trinket Box,United States of America
Trinket Box,United States of America
Trinket Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Box,United Kingdom
Trinket Box,United States of America
Trinket Box,United States of America
Box,United States of America
Box with Medallion Top,France
Box with Medallion Top,France
Box with Medallion Top,France
Box,United States of America
Box,United States of America
Box,United States of America
Box,United States of America
Covered jar,United States of America
Box,United States of America
Box with Miniature Portraits,France
George Washington,United Kingdom
Box Cover,United States of America
Skippet,United States of America
Furniture Hardware,United Kingdom
Bracket Clock,United States of America
Decanter,United States of America
Brandy Decanter,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Tumbler,United Kingdom
Brandy Warmer,United States of America
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,China
Bread Plate,United States of America
Bread Plate,United Kingdom
Bread Plate,Japan
Bread Plate,Japan
Bride Box,United States of America
Bride Box,United States of America
Brooch,United States of America
Brooch,Venezuela
Brooch,United States of America
Brooch,United States of America
The Bryant Vase,United States of America
Buckle,United States of America
Buckle,United States of America
Belt Buckle,United States of America
Bud Vase,United States of America
Bud Vase,United States of America
Bulb Pot,China
Bulb pot,China
Bull's Eye Windowpane,United States of America
Windowpane,United States of America
Windowpane,United States of America
Windowpane,United States of America
Windowpane,United States of America
Windowpane,United States of America
Windowpane,United States of America
Bureau Table,United States of America
Bureau Table,United States of America
Bureau Table,United States of America
Bureau table,United States of America
Butter Dish,United States of America
Butter Dish,United States of America
Butter Dish,United States of America
Butter Knife,United States of America
Butter Mold,United States of America
Butter Mold,United States of America
Butter Mold,United States of America
Butter Pat,United States of America
Butter Pat,United States of America
Butter Pat,United States of America
Butter Pat,United States of America
Butter Pat,United States of America
Butter Tester,United States of America
Button,United States of America
Medal,United States of America
Cabinet,United States of America
Cabinet,United States of America
Cabinet,United States of America
Commode,United States of America
Cabinet,United States of America
Cabinet,United States of America
Cabinet,United States of America
Cabinet,United States of America
Cabinet,United States of America
Cabinet,United States of America
Cachepot,France
Cachepot,France
Cachepot,United Kingdom
Cachepot,United Kingdom
Cake plate,United States of America
Cake Plate,United States of America
Cake plate,United States of America
Cake Plate,United States of America
Cake Plate,United States of America
Cake Stand,United States of America
Cake Tray,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Bottle,United States of America
Calendar,United States of America
Calendar,United States of America
Caliper and Level,United States of America
Plaque,United Kingdom
Cameo,United States of America
Plaque,United Kingdom
Cameo Medallion,United Kingdom
Cameo Medallion,United Kingdom
Cameo Medallion,United Kingdom
Cameo Medallion,United Kingdom
Cameo Medallion,United Kingdom
Cameo Locket,France
Campaign Button,United States of America
Candelabrum,United States of America
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,United States of America
Candelabrum,United States of America
Candelabrum,France
Candelabrum,France
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,France
Candelabrum,France
Candelabrum,United Kingdom
Candelabrum,United Kingdom
Candelabrum,United States of America
Candelabrum,United States of America
Candelabrum,United States of America
Candelabrum,United States of America
Candelabrum,United States of America
Candelabrum,United States of America
Furniture Hardware,United Kingdom
Furniture Hardware,United Kingdom
Candle Box,United States of America
Candle Box,United States of America
Furniture Hardware,United Kingdom
Candle Holder,United States of America
Candle Shade,United States of America
Candle Shade,United States of America
Candlestand,United States of America
Candlestand,United States of America
Candlestand,United States of America
Candlestand,United States of America
Candlestand,United States of America
Standing candlestick,United States of America
Candlestand,China
Candlestand,United States of America
Candle Stand,United States of America
Candle Stand,United States of America
Candle Stand,United States of America
Candlestand,United States of America
Stand,United States of America
Candlestand,United States of America
Candlestick,Mexico
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United States of America
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick and Candle,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,China
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United Kingdom
Candlestick,Mexico
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United Kingdom
Candlestick,United Kingdom
Candlestick,United States of America
Candlestick,United States of America
Candlestick,United States of America
